Atlanta,Chicago,Denver,Houston,LosAngeles,Miami,NewYork,SanFrancisco,Seattle,WashingtonDC,City
0.0,,,,,,,,,,Atlanta
587.0,0.0,,,,,,,,,Chicago
1212.0,920.0,0.0,,,,,,,,Denver
701.0,940.0,879.0,0.0,,,,,,,Houston
1936.0,1745.0,831.0,1374.0,0.0,,,,,,Los Angeles
604.0,1188.0,1726.0,968.0,2339.0,0.0,,,,,Miami
748.0,713.0,1631.0,1420.0,2451.0,1092.0,0.0,,,,New York
2139.0,1858.0,949.0,1645.0,347.0,2594.0,2571.0,0.0,,,San Francisco
2182.0,1737.0,1021.0,1891.0,959.0,2734.0,2408.0,678.0,0.0,,Seattle
543.0,597.0,1494.0,1220.0,2300.0,923.0,205.0,2442.0,2329.0,0.0,Washington D.C.
