libname,memname,memtype,engine
STPSAMP,ODSSTYLE,VIEW,SASESQL
SASHELP,VALLOPT,VIEW,SASESQL
SASHELP,VCATALG,VIEW,SASESQL
SASHELP,VCFORMAT,VIEW,SASESQL
SASHELP,VCHKCON,VIEW,SASESQL
SASHELP,VCNCOLU,VIEW,SASESQL
SASHELP,VCNTABU,VIEW,SASESQL
SASHELP,VCOLUMN,VIEW,SASESQL
SASHELP,VDATAIT,VIEW,SASESQL
SASHELP,VDCTNRY,VIEW,SASESQL
SASHELP,VDEST,VIEW,SASESQL
SASHELP,VENGINE,VIEW,SASESQL
SASHELP,VEXTFL,VIEW,SASESQL
SASHELP,VFILTER,VIEW,SASESQL
SASHELP,VFORMAT,VIEW,SASESQL
SASHELP,VFUNC,VIEW,SASESQL
SASHELP,VGOPT,VIEW,SASESQL
SASHELP,VINDEX,VIEW,SASESQL
SASHELP,VINFOMP,VIEW,SASESQL
SASHELP,VLIBNAM,VIEW,SASESQL
SASHELP,VLOCALE,VIEW,SASESQL
SASHELP,VMACRO,VIEW,SASESQL
SASHELP,VMEMBER,VIEW,SASESQL
SASHELP,VOPTION,VIEW,SASESQL
SASHELP,VPRMXML,VIEW,SASESQL
SASHELP,VPROMPT,VIEW,SASESQL
SASHELP,VREFCON,VIEW,SASESQL
SASHELP,VREMEMB,VIEW,SASESQL
SASHELP,VSACCES,VIEW,SASESQL
SASHELP,VSCATLG,VIEW,SASESQL
SASHELP,VSLIB,VIEW,SASESQL
SASHELP,VSTABLE,VIEW,SASESQL
SASHELP,VSTABVW,VIEW,SASESQL
SASHELP,VSTYLE,VIEW,SASESQL
SASHELP,VSVIEW,VIEW,SASESQL
SASHELP,VTABCON,VIEW,SASESQL
SASHELP,VTABLE,VIEW,SASESQL
SASHELP,VTITLE,VIEW,SASESQL
SASHELP,VVIEW,VIEW,SASESQL
SASHELP,VXATTR,VIEW,SASESQL
